"","INSPECTION_ID","ESTABLISHMENT_ID","IsED","MINIMUM_INSPECTIONS_PERYEAR","No_Infraction","Minor","Significant","Crucial","Total"
"38494","103871612","10410662",0,"3",1,0,0,0,0
"38495","103871624","10539008",1,"3",0,2,5,2,9
"38496","103871651","9006936",0,"1",1,0,0,0,0
"38497","103871652","10531573",0,"3",0,3,5,0,8
"38498","103871674","10224836",0,"1",1,0,0,0,0
"38499","103871678","10559371",0,"2",0,2,2,0,4
"38500","103871694","10559371",0,"2",0,1,0,0,1
"38501","103871711","10531573",0,"3",0,1,0,0,1
"38502","103871714","10539008",1,"3",0,1,0,0,1
"38503","103871716","10387910",0,"2",1,0,0,0,0
"38504","103871717","9007494",0,"2",1,0,0,0,0
"38505","103871718","10561636",0,"2",0,3,0,0,3
"38506","103871720","9005120",0,"2",1,0,0,0,0
"38507","103871722","10188739",0,"3",1,0,0,0,0
"38508","103871726","10431696",0,"3",0,2,1,0,3
"38509","103871727","10270438",0,"3",1,0,0,0,0
"38510","103871771","10232442",0,"1",1,0,0,0,0
"38511","103871772","10504222",0,"3",1,0,0,0,0
"38512","103871774","10469193",0,"2",1,0,0,0,0
"38513","103871777","10372406",0,"2",0,1,0,0,1
"38514","103871794","9008191",0,"2",1,0,0,0,0
"38515","103871797","10478304",0,"3",1,0,0,0,0
"38516","103871807","10571592",0,"2",0,1,0,0,1
"38517","103871808","10509120",0,"2",0,1,0,0,1
"38518","103871809","10550357",0,"2",0,0,1,0,1
"38519","103871810","10511127",0,"2",0,1,0,0,1
"38520","103871811","10394277",0,"2",1,0,0,0,0
"38521","103871812","10263407",0,"2",1,0,0,0,0
"38522","103871813","9008215",0,"3",1,0,0,0,0
"38523","103871816","10434623",0,"2",1,0,0,0,0
"38524","103871831","10565349",0,"2",1,0,0,0,0
"38525","103871841","10326395",0,"1",1,0,0,0,0
"38526","103871859","10528253",0,"3",0,1,1,0,2
"38527","103871884","10454262",0,"3",1,0,0,0,0
"38528","103871887","9022123",0,"3",1,0,0,0,0
"38529","103871894","10387732",0,"2",0,2,0,0,2
"38530","103871895","10488781",0,"2",0,1,0,0,1
"38531","103871896","10496351",0,"3",0,1,0,0,1
"38532","103871897","10372782",0,"3",0,1,1,0,2
"38533","103871898","10568255",0,"3",1,0,0,0,0
"38534","103871907","10393834",0,"2",0,1,0,0,1
"38535","103871912","9022124",0,"3",1,0,0,0,0
"38536","103871914","10527986",0,"2",0,2,2,0,4
"38537","103871918","9009437",0,"3",1,0,0,0,0
"38538","103871946","9017314",0,"3",1,0,0,0,0
"38539","103871948","9085564",0,"2",1,0,0,0,0
"38540","103871954","10582734",0,"1",1,0,0,0,0
"38541","103871989","10247641",0,"2",1,0,0,0,0
"38542","103871991","10492327",0,"3",0,2,0,0,2
"38543","103871995","10560394",0,"2",1,0,0,0,0
"38544","103872004","10491722",0,"2",1,0,0,0,0
"38545","103872012","10528254",0,"2",0,1,2,0,3
"38546","103872026","10398340",0,"3",0,2,2,3,7
"38547","103872028","10398340",0,"3",1,0,0,0,0
"38548","103872034","9002742",0,"2",0,1,3,1,5
"38549","103872044","10402638",0,"3",1,0,0,0,0
"38550","103872046","10476849",0,"2",0,1,0,0,1
"38551","103872048","9004817",0,"2",1,0,0,0,0
"38552","103872055","10582749",0,"3",1,0,0,0,0
"38553","103872057","10582750",0,"1",1,0,0,0,0
"38554","103872073","10334029",0,"3",0,3,0,0,3
"38555","103872076","10582753",0,"2",1,0,0,0,0
"38556","103872079","10582754",0,"2",0,0,2,0,2
"38557","103872085","10582755",0,"2",0,1,1,0,2
"38558","103872097","9002175",0,"3",0,2,2,0,4
"38559","103872098","10484408",0,"3",0,3,0,0,3
"38560","103872102","9007383",0,"2",0,0,1,0,1
"38561","103872103","10548975",0,"2",1,0,0,0,0
"38562","103872106","10532596",0,"3",1,0,0,0,0
"38563","103872113","9002742",0,"2",0,1,0,0,1
"38564","103872127","10489316",0,"1",0,0,1,0,1
"38565","103872129","10320375",0,"2",0,1,1,0,2
"38566","103872131","10392272",0,"1",0,1,0,0,1
"38567","103872134","10459996",0,"3",1,0,0,0,0
"38568","103872135","10566229",0,"2",1,0,0,0,0
"38569","103872154","10550357",0,"2",1,0,0,0,0
"38570","103872163","9404885",0,"1",1,0,0,0,0
"38571","103872166","10394906",0,"2",0,0,2,0,2
"38572","103872171","10299818",0,"1",1,0,0,0,0
"38573","103872181","10262638",0,"2",0,1,0,0,1
"38574","103872182","10278687",0,"2",0,3,0,0,3
"38575","103872190","10323697",0,"2",0,1,1,0,2
"38576","103872201","10582772",0,"2",0,0,1,0,1
"38577","103872206","9058095",0,"2",0,3,0,0,3
"38578","103872212","10447119",0,"2",0,2,1,0,3
"38579","103872215","10582776",0,"1",1,0,0,0,0
"38580","103872224","9008411",0,"2",0,0,2,0,2
"38581","103872229","9008650",0,"2",1,0,0,0,0
"38582","103872233","10421573",0,"3",1,0,0,0,0
"38583","103872235","10423048",0,"2",1,0,0,0,0
"38584","103872239","10405501",0,"2",1,0,0,0,0
"38585","103872240","10310908",0,"2",0,1,1,0,2
"38586","103872241","10331300",0,"3",0,1,0,0,1
"38587","103872276","10191496",0,"2",0,1,0,0,1
"38588","103872280","10378845",0,"3",0,0,1,0,1
"38589","103872283","10396640",0,"2",1,0,0,0,0
"38590","103872312","9014440",0,"3",1,0,0,0,0
"38591","103872319","10404563",0,"2",0,1,0,0,1
"38592","103872324","10582792",0,"2",1,0,0,0,0
"38593","103872375","10261242",0,"2",0,1,0,0,1
"38594","103872376","10323256",0,"2",1,0,0,0,0
"38595","103872382","10335565",0,"2",1,0,0,0,0
"38596","103872383","10336867",0,"2",0,1,1,0,2
"38597","103872384","10378336",0,"2",1,0,0,0,0
"38598","103872387","10275323",0,"3",0,1,0,0,1
"38599","103872400","10203876",0,"2",0,2,0,0,2
"38600","103872403","10517554",0,"3",0,2,2,0,4
"38601","103872410","10515541",0,"2",1,0,0,0,0
"38602","103872425","10531635",0,"3",0,3,1,0,4
"38603","103872429","10422303",0,"3",0,0,1,0,1
"38604","103872430","10551602",0,"2",1,0,0,0,0
"38605","103872432","9059954",0,"2",1,0,0,0,0
"38606","103872433","10502074",0,"3",0,1,0,0,1
"38607","103872439","9343911",0,"3",0,2,2,0,4
"38608","103872440","9343911",0,"3",1,0,0,0,0
"38609","103872447","10374437",0,"2",0,0,2,0,2
"38610","103872457","10426726",0,"3",0,2,1,0,3
"38611","103872458","10426726",0,"3",1,0,0,0,0
