field_1,lat,long,input_address,estblishment in ent dist_IsEnt
78,43.6392959,-79.5378398,"5236 DUNDAS ST W, Toronto, ON, Canada",
79,43.6729982,-79.4141649,"1093 BATHURST ST , Toronto, ON, Canada",
80,43.6480698,-79.5687522,"450 THE WEST MALL  , Toronto, ON, Canada",
81,43.730314,-79.419173,"1800 AVENUE RD , Toronto, ON, Canada",
82,43.8095968,-79.3555072,"55 FRESHMEADOW DR , Toronto, ON, Canada",
83,43.6789648,-79.4828691,"99 HUMBER BLVD , Toronto, ON, Canada",
84,43.702167,-79.387413,"525 MOUNT PLEASANT RD , Toronto, ON, Canada",
85,43.6834777,-79.5933127,"215 CARLINGVIEW DR , Toronto, ON, Canada",
86,43.7309747,-79.3058444,"1646 VICTORIA PARK AVE , Toronto, ON, Canada",
87,43.6800116,-79.3381724,"929 DANFORTH AVE , Toronto, ON, Canada",
88,43.7382054,-79.5661754,"2648 ISLINGTON AVE , Toronto, ON, Canada",
89,43.747727,-79.5234232,"308 EDDYSTONE AVE , Toronto, ON, Canada",
90,43.743203,-79.6039919,"10 WESTMORE DR , Toronto, ON, Canada",
91,43.6777658,-79.3517738,"390 DANFORTH AVE , Toronto, ON, Canada",
92,43.6779323,-79.3488237,"509 DANFORTH AVE , Toronto, ON, Canada",
93,43.6789721,-79.3434527,"707 DANFORTH AVE , Toronto, ON, Canada",
94,43.6634488,-79.3724273,"182 CARLTON ST , Toronto, ON, Canada",
95,43.6284288,-79.413533,"955 LAKE SHORE BLVD W, Toronto, ON, Canada",
96,43.6569999,-79.4067699,"74 LIPPINCOTT ST , Toronto, ON, Canada",
97,43.684152,-79.2754163,"31 WOOD GLEN RD , Toronto, ON, Canada",
98,43.6747594,-79.3969119,"222 DAVENPORT RD , Toronto, ON, Canada",
99,43.7219391,-79.4160122,"1498 AVENUE RD , Toronto, ON, Canada",
100,43.6622936,-79.33542,"1116 QUEEN ST E, Toronto, ON, Canada",
101,43.7149777,-79.5556495,"2284 ISLINGTON AVE , Toronto, ON, Canada",
102,43.6469434,-79.3772575,"10 FRONT ST W, Toronto, ON, Canada",
103,43.6573337,-79.4873715,"343 JANE ST , Toronto, ON, Canada",
104,43.6414885,-79.4332253,"1376 QUEEN ST W, Toronto, ON, Canada",
105,43.7175235,-79.4581967,"33 SAMOR RD , Toronto, ON, Canada",
106,43.7557297,-79.4407416,"634 SHEPPARD AVE W, Toronto, ON, Canada",
107,43.7048197,-79.3749946,"1548 BAYVIEW AVE , Toronto, ON, Canada",
108,43.6706144,-79.3520886,"25 BAIN AVE , Toronto, ON, Canada",
109,43.6532298,-79.4287173,"1002 COLLEGE ST , Toronto, ON, Canada",
110,43.8267002,-79.290822,"4915 STEELES AVE E, Toronto, ON, Canada",
111,43.7195995,-79.5260275,"50 MARMORA ST , Toronto, ON, Canada",
112,43.7112333,-79.2797829,"701 WARDEN AVE , Toronto, ON, Canada",
113,43.6764445,-79.2898302,"14 PINE AVE , Toronto, ON, Canada",
114,43.6578285,-79.3827595,"18 ELM ST , Toronto, ON, Canada",
115,43.8142608,-79.3357394,"3550 PHARMACY AVE , Toronto, ON, Canada",
116,43.6486362,-79.3817439,"100 KING ST W, Toronto, ON, Canada",
117,43.6491204,-79.3799957,"44 KING ST W, Toronto, ON, Canada",
118,43.8267879,-79.2798585,"380 GOLDHAWK TRL , Toronto, ON, Canada",
119,43.6575924,-79.3821624,"7 ELM ST , Toronto, ON, Canada",
120,43.6460993,-79.3830991,"56 YORK ST , Toronto, ON, Canada",
121,43.6779566,-79.3903333,"1088 YONGE ST , Toronto, ON, Canada",
122,43.7953895,-79.2259294,"19 LAPSLEY RD , Toronto, ON, Canada",
123,43.668359,-79.4126809,"914 BATHURST ST , Toronto, ON, Canada",
124,43.7334356,-79.4191848,"1917 AVENUE RD , Toronto, ON, Canada",
125,43.7471039,-79.384689,"2534 BAYVIEW AVE , Toronto, ON, Canada",
126,43.8092863,-79.2636758,"1001 SANDHURST CRCL , Toronto, ON, Canada",
127,43.6650266,-79.3808232,"536 CHURCH ST , Toronto, ON, Canada",
128,43.6655628,-79.411661,"800 BATHURST ST , Toronto, ON, Canada",
129,43.730496,-79.4328136,"3560 BATHURST ST , Toronto, ON, Canada",
130,43.726593,-79.443906,"145 BAYCREST AVE , Toronto, ON, Canada",
131,43.7288702,-79.4403607,"55 AMEER AVE , Toronto, ON, Canada",
132,43.7815922,-79.3906406,"3125 BAYVIEW AVE , Toronto, ON, Canada",
133,43.6860418,-79.393469,"1366 YONGE ST , Toronto, ON, Canada",
134,43.6774436,-79.3025079,"505 KINGSTON RD , Toronto, ON, Canada",
135,43.6802467,-79.2865793,"975 KINGSTON RD , Toronto, ON, Canada",
136,43.6860266,-79.3215688,"55 WOODINGTON AVE , Toronto, ON, Canada",
137,43.7699237,-79.52123,"4710 JANE ST , Toronto, ON, Canada",
138,43.7206578,-79.5370717,"2825 WESTON RD , Toronto, ON, Canada",
139,43.6695313,-79.3972168,"36 PRINCE ARTHUR AVE , Toronto, ON, Canada",
140,43.6221266,-79.5103739,"23 CANMOTOR AVE , Toronto, ON, Canada",
141,43.6733128,-79.2838144,"2455 QUEEN ST E, Toronto, ON, Canada",
142,43.7468148,-79.2317612,"200 BELLAMY RD N, Toronto, ON, Canada",
143,43.6487238,-79.3691227,"160 THE ESPLANADE  , Toronto, ON, Canada",
144,43.6746049,-79.3910664,"55 BELMONT ST , Toronto, ON, Canada",
145,43.7548154,-79.2521248,"2920 LAWRENCE AVE E, Toronto, ON, Canada",
146,43.7547946,-79.2658771,"1555 MIDLAND AVE , Toronto, ON, Canada",
147,43.6459054,-79.381464,"100 FRONT ST W, Toronto, ON, Canada",
148,43.6401826,-79.4393729,"1534 QUEEN ST W, Toronto, ON, Canada",
149,43.8019717,-79.2206076,"120 BERNER TRL , Toronto, ON, Canada",
150,43.736724,-79.4845738,"4700 KEELE ST , Toronto, ON, Canada",
151,43.7608782,-79.2247782,"657 MARKHAM RD , Toronto, ON, Canada",
152,43.7088834,-79.3907576,"808 MOUNT PLEASANT RD , Toronto, ON, Canada",
153,43.6501845,-79.3722562,"155 KING ST E, Toronto, ON, Canada",
154,43.6475487,-79.3765502,"33 YONGE ST , Toronto, ON, Canada",
155,43.6655822,-79.4095666,"482 BLOOR ST W, Toronto, ON, Canada",
156,43.6257582,-79.5042091,"765 THE QUEENSWAY  , Toronto, ON, Canada",
157,43.6694976,-79.4824726,"2424 ST CLAIR AVE W, Toronto, ON, Canada",
