"","ESTABLISHMENT_ID","IsED","Inspection","Minor","Significant","Crucial","Total"
"3065","10382295",0,1,0,0,0,0
"3066","10382304",0,3,0,1,0,1
"3067","10382344",0,2,0,0,0,0
"3068","10382345",0,4,1,0,0,1
"3069","10382400",0,2,0,1,0,1
"3070","10382502",0,3,3,0,0,3
"3071","10382524",0,5,2,3,0,5
"3072","10382526",0,1,1,1,0,2
"3073","10382602",0,4,4,6,0,10
"3074","10382808",0,2,0,0,0,0
"3075","10382824",0,4,0,0,0,0
"3076","10382859",0,2,0,0,0,0
"3077","10382863",0,4,8,7,0,15
"3078","10382877",0,1,0,1,0,1
"3079","10382918",0,4,0,2,0,2
"3080","10383036",0,3,1,0,0,1
"3081","10383082",0,1,0,0,0,0
"3082","10383085",0,4,1,0,0,1
"3083","10383089",0,4,0,0,0,0
"3084","10383121",0,4,2,0,0,2
"3085","10383277",0,8,19,14,3,36
"3086","10383353",0,1,0,0,0,0
"3087","10383387",0,3,2,2,0,4
"3088","10383538",0,6,13,6,0,19
"3089","10383545",0,10,8,10,2,20
"3090","10383596",0,7,5,5,1,11
"3091","10383634",0,6,5,2,0,7
"3092","10383670",0,5,0,3,0,3
"3093","10383704",0,8,9,3,0,12
"3094","10383730",0,2,1,0,0,1
"3095","10383838",0,4,11,3,0,14
"3096","10383873",0,6,3,3,0,6
"3097","10383878",0,1,0,0,0,0
"3098","10383883",0,4,2,0,0,2
"3099","10383899",0,4,1,0,0,1
"3100","10383952",0,3,0,0,0,0
"3101","10383958",0,3,1,1,0,2
"3102","10383970",0,4,6,2,0,8
"3103","10383982",0,6,0,6,0,6
"3104","10383994",0,1,0,0,0,0
"3105","10384083",0,2,3,0,0,3
"3106","10384192",0,4,1,0,0,1
"3107","10384194",0,2,4,1,0,5
"3108","10384198",0,4,4,0,0,4
"3109","10384316",0,2,1,0,0,1
"3110","10384341",0,2,0,0,0,0
"3111","10384417",0,2,1,0,0,1
"3112","10384476",0,1,0,0,0,0
"3113","10384493",0,6,1,2,3,6
"3114","10384532",0,2,4,2,0,6
"3115","10384540",0,2,2,4,0,6
"3116","10384612",0,9,7,6,0,13
"3117","10384708",0,5,4,2,0,6
"3118","10384734",0,2,0,1,0,1
"3119","10384872",0,4,0,3,0,3
"3120","10384879",0,6,17,3,0,20
"3121","10384938",0,1,0,0,0,0
"3122","10384957",0,4,5,4,0,9
"3123","10384982",0,6,10,1,0,11
"3124","10385008",0,4,3,1,0,4
"3125","10385018",0,4,4,0,1,5
"3126","10385025",0,4,8,2,0,10
"3127","10385028",0,7,3,8,2,13
"3128","10385037",0,1,0,0,0,0
"3129","10385045",0,3,3,0,0,3
"3130","10385050",0,3,0,0,0,0
"3131","10385053",0,1,0,0,0,0
"3132","10385063",0,4,4,8,0,12
"3133","10385077",0,9,5,7,2,14
"3134","10385124",0,2,2,1,0,3
"3135","10385149",0,2,1,1,0,2
"3136","10385170",1,6,1,2,0,3
"3137","10385183",0,7,4,4,3,11
"3138","10385280",0,3,2,0,0,2
"3139","10385317",0,2,1,0,0,1
"3140","10385335",0,7,9,6,1,16
"3141","10385373",0,5,0,0,0,0
"3142","10385393",0,4,0,2,0,2
"3143","10385409",0,2,6,1,0,7
"3144","10385413",0,1,1,0,0,1
"3145","10385447",0,1,0,0,0,0
"3146","10385464",0,1,0,0,0,0
"3147","10385476",0,4,3,0,0,3
"3148","10385481",0,1,0,0,0,0
"3149","10385489",0,3,0,0,0,0
"3150","10385600",0,1,0,0,0,0
"3151","10385648",1,5,2,1,0,3
"3152","10385738",0,1,2,0,0,2
"3153","10385752",0,1,0,0,0,0
"3154","10385753",0,5,0,0,0,0
"3155","10385786",0,2,1,0,0,1
"3156","10385888",0,12,12,15,0,27
"3157","10385890",0,7,7,3,0,10
"3158","10385891",0,1,1,0,0,1
"3159","10385899",0,4,0,0,0,0
"3160","10385905",0,3,0,0,0,0
"3161","10385938",0,3,3,1,0,4
"3162","10386052",0,1,0,0,0,0
"3163","10386063",0,1,0,0,0,0
"3164","10386112",0,4,2,1,0,3
"3165","10386302",0,2,0,0,0,0
"3166","10386323",0,4,5,0,0,5
"3167","10386366",1,6,1,1,0,2
"3168","10386376",0,1,0,0,0,0
"3169","10386463",0,4,1,0,0,1
"3170","10386508",0,4,4,1,0,5
"3171","10386510",0,5,2,0,0,2
"3172","10386531",0,2,0,0,0,0
"3173","10386640",0,8,10,4,0,14
"3174","10386659",0,4,2,0,0,2
"3175","10386703",0,5,4,2,0,6
"3176","10386704",0,4,0,0,0,0
"3177","10386776",0,7,2,4,1,7
"3178","10386789",0,3,0,0,0,0
"3179","10386836",0,4,0,0,0,0
"3180","10386839",0,1,0,4,0,4
"3181","10386869",0,1,0,0,0,0
"3182","10386934",0,3,4,2,0,6
"3183","10386948",0,5,0,0,0,0
"3184","10386983",0,4,0,0,0,0
"3185","10386995",0,3,2,0,1,3
"3186","10387002",0,5,5,9,0,14
"3187","10387028",0,3,0,0,0,0
"3188","10387029",0,3,3,3,0,6
"3189","10387054",0,5,3,0,0,3
"3190","10387069",0,3,7,0,0,7
"3191","10387074",0,4,2,0,0,2
"3192","10387075",0,5,4,1,0,5
"3193","10387082",0,2,3,2,0,5
"3194","10387119",0,1,0,0,0,0
"3195","10387137",0,3,6,1,0,7
"3196","10387139",0,6,5,3,0,8
"3197","10387207",0,5,4,2,0,6
"3198","10387218",0,1,0,0,0,0
"3199","10387238",0,1,1,0,0,1
"3200","10387323",0,3,0,1,0,1
"3201","10387327",0,5,0,3,0,3
"3202","10387355",0,2,1,0,0,1
"3203","10387374",0,8,6,2,0,8
"3204","10387400",0,2,2,1,0,3
"3205","10387410",0,6,1,4,2,7
"3206","10387411",0,2,0,0,0,0
"3207","10387441",0,7,1,1,1,3
"3208","10387498",0,7,4,3,0,7
"3209","10387590",0,4,0,0,0,0
"3210","10387622",0,6,8,4,0,12
"3211","10387677",0,4,0,0,0,0
"3212","10387695",0,6,0,0,0,0
"3213","10387710",0,4,4,0,0,4
"3214","10387715",0,6,5,0,0,5
"3215","10387730",0,6,5,1,0,6
"3216","10387732",0,3,2,2,0,4
"3217","10387740",0,3,3,1,0,4
"3218","10387841",0,1,0,0,0,0
"3219","10387864",0,5,0,1,0,1
"3220","10387910",0,4,0,1,0,1
"3221","10387913",0,1,0,0,0,0
"3222","10388078",0,2,1,0,0,1
"3223","10388128",0,4,0,0,0,0
"3224","10388151",0,4,0,0,0,0
"3225","10388205",0,4,5,3,0,8
"3226","10388206",0,2,0,2,0,2
"3227","10388217",0,4,0,0,0,0
"3228","10388251",0,2,0,0,0,0
"3229","10388252",0,4,0,0,0,0
"3230","10388253",0,2,0,0,0,0
"3231","10388262",0,4,1,1,0,2
"3232","10388300",0,1,1,0,0,1
"3233","10388332",0,5,1,0,0,1
"3234","10388336",0,5,2,0,0,2
"3235","10388345",0,1,1,0,0,1
"3236","10388347",0,4,7,4,0,11
"3237","10388464",0,6,6,2,0,8
"3238","10388534",0,3,1,0,0,1
"3239","10388561",0,5,2,3,0,5
"3240","10388582",0,5,3,5,0,8
"3241","10388615",0,2,3,3,0,6
"3242","10388616",0,1,0,0,0,0
"3243","10388620",0,6,4,1,0,5
"3244","10388647",0,5,0,3,0,3
"3245","10388660",0,3,0,0,0,0
"3246","10388701",0,2,0,1,0,1
"3247","10388743",0,4,1,3,0,4
"3248","10388774",0,5,2,2,0,4
"3249","10388897",0,1,0,0,0,0
"3250","10388906",0,4,0,0,0,0
"3251","10388935",0,3,5,1,0,6
"3252","10388999",0,4,1,1,0,2
"3253","10389054",0,6,0,0,0,0
"3254","10389073",0,1,0,0,0,0
"3255","10389095",0,2,0,0,0,0
"3256","10389126",0,2,0,0,0,0
"3257","10389131",0,8,6,6,1,13
"3258","10389148",0,1,1,1,0,2
"3259","10389193",0,1,0,1,0,1
"3260","10389199",0,6,5,10,1,16
"3261","10389205",0,3,3,2,0,5
"3262","10389236",0,2,0,0,0,0
"3263","10389308",0,3,0,1,0,1
"3264","10389310",0,3,0,0,0,0
"3265","10389314",0,3,2,1,0,3
"3266","10389315",0,1,0,0,0,0
"3267","10389316",0,1,0,0,0,0
"3268","10389320",0,4,0,0,0,0
"3269","10389321",0,4,2,0,0,2
"3270","10389326",0,3,0,1,0,1
