"","ESTABLISHMENT_ID","IsED","theta","psi","min_inspection","inspection","Total"
"9966",10493106,0,0.612208021103414,1.23686022637981,3,6,7
"9967",10493141,0,0.611571342159602,1.20406627189514,2,5,1
"9968",10493151,0,0.612872719220652,0.566531491484813,2,5,0
"9969",10493210,0,0.612731706867408,2.36706649444253,2,2,0
"9970",10493223,0,0.614245451957225,1.59642603245655,2,3,0
"9971",10493247,0,0.610763883289453,1.36918528199814,2,3,1
"9972",10493249,0,0.61284395291278,1.00698074474334,3,10,32
"9973",10493254,0,0.613522011713431,1.22645311316313,2,3,0
"9974",10493274,0,0.613120460769069,1.3489049225793,2,1,2
"9975",10493277,0,0.611638672242084,0.444493745511055,2,1,3
"9976",10493302,0,0.612693686402888,1.06887864414184,2,4,1
"9977",10493310,0,0.612442858196113,1.39434552836307,2,6,15
"9978",10493314,0,0.61260240462256,0.844039823916233,3,3,6
"9979",10493322,0,0.612699647875676,3.08483869352707,1,1,0
"9980",10493362,0,0.612268778575848,0.930554417822982,2,1,0
"9981",10493376,0,0.612321914366618,1.84632622996187,3,2,4
"9982",10493379,0,0.612706019165683,1.38412707371298,2,5,3
"9983",10493417,0,0.613910470397536,0.766069873793617,2,3,4
"9984",10493431,0,0.611599057844023,1.84324369736135,1,3,1
"9985",10493439,0,0.612792380288509,1.23734303431635,3,8,23
"9986",10493466,0,0.612433281201538,1.55770619195428,2,4,0
"9987",10493470,0,0.611486835806836,0.709615759832201,2,3,4
"9988",10493481,0,0.614507274172878,1.6673105338169,2,4,0
"9989",10493533,0,0.613247169454281,1.06626387639358,2,3,1
"9990",10493607,0,0.611977650776547,1.02740496434862,2,3,7
"9991",10493665,0,0.613711972632774,0.851917073910283,2,5,8
"9992",10493666,0,0.614369985317628,0.85594001394547,2,2,0
"9993",10493713,0,0.614373771469819,1.35171293505033,2,3,4
"9994",10493715,0,0.612327934756307,0.780597294419941,3,9,30
"9995",10493723,0,0.612714956521491,1.51163573052892,1,4,5
"9996",10493724,0,0.612626940831184,0.860172768144582,3,5,12
"9997",10493725,0,0.612198543406469,1.67941556709507,1,1,0
"9998",10493735,0,0.613933485720798,1.11141315196411,2,3,2
"9999",10493738,0,0.612870766960173,1.54930047251233,2,4,0
"10000",10493741,0,0.614177284898624,1.23031379307499,2,4,4
"10001",10493802,0,0.611557254538923,0.892254655287287,3,6,13
"10002",10493805,1,0.585341174226525,1.93326150591695,2,6,3
"10003",10493806,0,0.612166082714561,0.224704756825425,1,1,0
"10004",10493874,0,0.612992443771552,1.05817535592356,2,5,0
"10005",10493934,0,0.613887120359004,0.7194603571416,2,8,10
"10006",10493970,0,0.612118058584803,0.57167529490799,2,4,0
"10007",10493980,0,0.611919316901863,0.757957973883929,1,4,0
"10008",10494011,0,0.61186694620781,0.494192623345903,1,1,0
"10009",10494012,0,0.612426595211384,2.0194504835893,1,2,0
"10010",10494058,0,0.612803838274255,1.29576454057063,2,6,6
"10011",10494072,1,0.584642889200786,1.91935066828387,2,4,1
"10012",10494074,1,0.584700798820042,1.88340834959129,2,4,0
"10013",10494085,0,0.612310205443049,0.926289181490028,2,4,5
"10014",10494089,0,0.613183986476491,0.854291847196218,2,3,1
"10015",10494096,0,0.613046692145544,1.42075415433767,3,6,7
"10016",10494097,0,0.612787591467599,0.678339237361256,3,7,12
"10017",10494103,0,0.613122021694523,0.430352623386882,1,3,4
"10018",10494104,0,0.61175861002881,0.63428688699529,2,5,3
"10019",10494111,0,0.613307471146284,0.444996554689578,2,3,0
"10020",10494117,0,0.613080538337668,1.63142463416967,3,6,7
"10021",10494131,0,0.613273988942647,1.73628943865103,2,4,0
"10022",10494136,0,0.612755043531745,2.07607838628889,2,4,1
"10023",10494159,0,0.610797808480871,1.11450083795648,3,5,8
"10024",10494190,0,0.613754747919824,1.09745423313988,3,6,12
"10025",10494225,0,0.614330989559349,1.10335907115624,3,5,4
"10026",10494239,0,0.613519633457481,0.525771021144773,2,1,0
"10027",10494253,0,0.615085415495542,0.998520496230438,2,4,0
"10028",10494314,0,0.611119443681575,1.68540299173913,2,5,6
"10029",10494339,0,0.610020234651618,0.718544395789782,2,4,0
"10030",10494410,0,0.612019728040006,0.752418245604558,2,3,3
"10031",10494419,0,0.613744700001585,1.30547700594338,2,3,0
"10032",10494437,0,0.611297480991452,1.02361755807766,2,3,0
"10033",10494440,0,0.607097694001121,0.53423362411858,2,1,2
"10034",10494441,0,0.614384695189209,0.734234550732071,2,2,3
"10035",10494471,0,0.613753959007935,0.89618831743609,3,4,9
"10036",10494474,0,0.612461570586055,1.97396085500384,2,2,4
"10037",10494478,0,0.613015913930924,1.24479611884666,3,8,20
"10038",10494481,0,0.613366424665528,1.22651313970317,2,5,4
"10039",10494533,0,0.611715840563877,0.904692085234074,2,2,3
"10040",10494602,0,0.612241885138583,1.20536959818018,2,5,5
"10041",10494608,0,0.612942134644427,0.779883267719775,2,5,7
"10042",10494663,0,0.611335726174787,1.17214369140888,1,2,0
"10043",10494669,0,0.613078965646917,0.957618083309515,3,5,10
"10044",10494811,0,0.612639697093305,1.23911280638397,1,1,1
"10045",10494924,0,0.611837856186656,0.643794427967818,2,3,0
"10046",10495110,0,0.610917742633014,1.10966966762827,2,4,0
"10047",10495185,0,0.610608396841016,0.661964625539511,1,1,0
"10048",10495197,0,0.612727970370223,0.564320157294235,2,4,1
"10049",10495204,0,0.609921913307455,0.939450921600887,1,1,0
"10050",10495208,0,0.613722225612445,1.37730022381535,2,3,0
"10051",10495233,0,0.612914053461042,0.800099322169977,3,4,2
"10052",10495266,0,0.612674459604559,0.766320941333607,2,6,4
"10053",10495292,0,0.612567875124268,1.68556761736683,2,5,9
"10054",10495293,0,0.612660095057592,0.691862914964441,3,6,2
"10055",10495295,0,0.612107641894681,0.575520073717332,2,4,3
"10056",10495326,1,0.583702971569435,1.73992077690134,2,7,0
"10057",10495402,0,0.612254110385374,1.07887803490407,3,10,20
"10058",10495444,0,0.611890645744551,0.878214161948182,1,2,5
"10059",10495481,0,0.612500228375769,1.3412150141009,1,3,0
"10060",10495511,0,0.612161610404452,1.23190784124605,3,7,13
"10061",10495515,0,0.612686126352871,1.42593179527572,2,4,2
"10062",10495517,0,0.613864027567161,0.827782894810906,1,1,0
"10063",10495526,0,0.610224704766965,1.1293228512315,1,1,0
